registry_id,primary_name,latitude83,longitude83,naics_code
110070377148,ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU PLANT,29.284424,-95.261344,325188
110070377148,ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU PLANT,29.284424,-95.261344,325998
110070377148,ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU PLANT,29.284424,-95.261344,325110
110000599406,LYONDELL CHEMICAL CO - CHOCOLATE BAYOU CHEMICALS PLANT,29.250091,-95.216526,325188
110000599406,LYONDELL CHEMICAL CO - CHOCOLATE BAYOU CHEMICALS PLANT,29.250091,-95.216526,325199
110070569460,AIRGAS ALVIN PLANT,29.501648,-95.26505,325120
110000599406,LYONDELL CHEMICAL CO - CHOCOLATE BAYOU CHEMICALS PLANT,29.250091,-95.216526,325110
110000599406,LYONDELL CHEMICAL CO - CHOCOLATE BAYOU CHEMICALS PLANT,29.250091,-95.216526,325110
110070177778,SODIUM CYANIDE MANUFACTURING PLANT,,,325188
110000606933,INEOS USA LLC - CHOCOLATE BAYOU PLANT,29.413774,-95.263726,325199
110000599406,LYONDELL CHEMICAL CO - CHOCOLATE BAYOU CHEMICALS PLANT,29.250091,-95.216526,325211
110000599406,LYONDELL CHEMICAL CO - CHOCOLATE BAYOU CHEMICALS PLANT,29.250091,-95.216526,325110
110071159763,INDORAMA VENTURES OXIDES LLC,29.418771,-95.239067,325611
110000599406,LYONDELL CHEMICAL CO - CHOCOLATE BAYOU CHEMICALS PLANT,29.250091,-95.216526,325211
110000619545,AZTEC MERCURY INC,,,325188
110070377148,ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU PLANT,29.284424,-95.261344,324110
110000599406,LYONDELL CHEMICAL CO - CHOCOLATE BAYOU CHEMICALS PLANT,29.250091,-95.216526,325611
110070158531,ALLIED PETROCHEMICAL PLANT,29.318786,-95.254903,324110
110070676912,MHBA CHOCOLATE BAYOU PLANT,,,325199
110000599406,LYONDELL CHEMICAL CO - CHOCOLATE BAYOU CHEMICALS PLANT,29.250091,-95.216526,325110
110028052461,POWER ISLAND,29.2293,-95.1952,32512
110061084829,MHBA CHOCOLATE BAYOU PLANT,29.246153,-95.208725,325188
110061084829,MHBA CHOCOLATE BAYOU PLANT,29.246153,-95.208725,325199
110061084829,MHBA CHOCOLATE BAYOU PLANT,29.246153,-95.208725,325110
110000599406,LYONDELL CHEMICAL CO - CHOCOLATE BAYOU CHEMICALS PLANT,29.250091,-95.216526,325199
110000707192,"HOUSTON CHEMICAL DISTRIBUTORS, L.L.C.",29.40329,-95.17788,325311
110005020645,ASHBURN INC,,,325211
110070278876,ASCEND PERFORMANCE MATERIALS,,,325188
110070284665,"EQUISTAR CHEMICALS, L.P.",,,325110
110000606933,INEOS USA LLC - CHOCOLATE BAYOU PLANT,29.413774,-95.263726,325199
110000606933,INEOS USA LLC - CHOCOLATE BAYOU PLANT,29.413774,-95.263726,325211
110070813779,INEOS OLIGOMERS CHOCOLATE BAYOU,29.234511,-95.184062,325110
110000606933,INEOS USA LLC - CHOCOLATE BAYOU PLANT,29.413774,-95.263726,325110
110070633528,INEOS OLIGOMERS CHOCOLATE BAYOU,29.23432,-95.192842,325110
110070633528,INEOS OLIGOMERS CHOCOLATE BAYOU,29.23432,-95.192842,325199
110070290828,"ASCEND PERFORMANCE MATERIALS TEXAS, INC.",29.231225,-95.196088,325188
110070377148,ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU PLANT,29.284424,-95.261344,325110
110067426529,MONSANTO CHOCOLATE BAYOU,29.231225,-95.196088,325320
110070278876,ASCEND PERFORMANCE MATERIALS,,,325199
110012555546,POLYMER CHEMISTRY CHOCOLATE BAYOU LLC,29.31125,-95.25762,325211
110034439383,EQUISTAR CHOCOLATE BAYOU POLYMERS PLANT,29.257777,-95.213333,325110
110034439383,EQUISTAR CHOCOLATE BAYOU POLYMERS PLANT,29.257777,-95.213333,325199
110034439383,EQUISTAR CHOCOLATE BAYOU POLYMERS PLANT,29.257777,-95.213333,325211
110070377148,ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU PLANT,29.284424,-95.261344,325188
110070377148,ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU PLANT,29.284424,-95.261344,325998
110070377148,ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU PLANT,29.284424,-95.261344,325199
110070278876,ASCEND PERFORMANCE MATERIALS,,,325199
110070377148,ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU PLANT,29.284424,-95.261344,325199
110000599406,LYONDELL CHEMICAL CO - CHOCOLATE BAYOU CHEMICALS PLANT,29.250091,-95.216526,325211
110070278876,ASCEND PERFORMANCE MATERIALS,,,325188
110070168607,EASTMAN CHEMICAL SORBIC UNIT CHOCOLATE BAYOU,,,325199
110070278876,ASCEND PERFORMANCE MATERIALS,,,325199
110070377148,ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU PLANT,29.284424,-95.261344,325199
110070158531,ALLIED PETROCHEMICAL PLANT,29.318786,-95.254903,325188
110070377148,ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU PLANT,29.284424,-95.261344,325199
110070377148,ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU PLANT,29.284424,-95.261344,325211
110070158531,ALLIED PETROCHEMICAL PLANT,29.318786,-95.254903,325199
110070158531,ALLIED PETROCHEMICAL PLANT,29.318786,-95.254903,324110
110070158531,ALLIED PETROCHEMICAL PLANT,29.318786,-95.254903,325188
110070377148,ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU PLANT,29.284424,-95.261344,325320
110000599406,LYONDELL CHEMICAL CO - CHOCOLATE BAYOU CHEMICALS PLANT,29.250091,-95.216526,325211
110007068920,VERMILION SERVICE CO.,40.304336,-87.59372,325314
110012555546,POLYMER CHEMISTRY CHOCOLATE BAYOU LLC,29.31125,-95.25762,325211
110070278876,ASCEND PERFORMANCE MATERIALS,,,325199
110000606933,INEOS USA LLC - CHOCOLATE BAYOU PLANT,29.413774,-95.263726,325199
110000707192,"HOUSTON CHEMICAL DISTRIBUTORS, L.L.C.",29.40329,-95.17788,325311
110000606933,INEOS USA LLC - CHOCOLATE BAYOU PLANT,29.413774,-95.263726,325211
110070813779,INEOS OLIGOMERS CHOCOLATE BAYOU,29.234511,-95.184062,325110
110070887513,CHOCOLATE BAYOU,,,325110
