AIRPORT,demand_mwh_h2,Latitude,Longitude,total_h2_demand_kg
FAT,824.2655694250684,36.77666667,-119.71888889,24686.00088125392
FCH,0.0,36.73222222,-119.82027778,0.0
FCS,0.0003500013034245056,38.695,-104.75638889,0.01048221932987438
FFZ,0.00014666438741293975,33.4608001709,-111.727996826,0.004392464432852344
FHR,0.00034913646757863597,48.523654,-123.024645,0.010456318286272416
FHU,1.3345763855634271e-05,31.58833333,-110.34444444,0.00039969343682642324
FLG,1.0412532808031327,35.14027778,-111.66916667,31.184584630222606
FLX,2.4769627106031023e-05,39.49916667,-118.74888889,0.0007418277060805936
FMN,0.15009624510535247,36.74138889,-108.23111111,4.495245435919511
FNL,0.0003440228031325566,40.45194444,-105.01138889,0.010303168707174501
FOT,5.519140107995876e-06,40.55390167,-124.1330032,0.00016529320479173034
FUL,0.0,33.87194444,-117.97972222,0.0
GCC,83.51351046351385,44.34722222,-105.54138889,2501.153353204967
GCN,0.5360985660034951,35.95222222,-112.14694444,16.055662354102882
GEG,8689.969651883202,47.61916667,-117.53527778,260256.65324597794
GEU,0.0,33.52690124511719,-112.29499816894533,0.0
GJT,5.687248261073419,39.11861111,-108.51444444,170.32789041849114
GNT,0.010586565632078293,35.16722222,-107.90194444,0.3170579704126473
GOO,3.2422404507126127e-06,39.223998,-121.002997,9.71021398835763e-05
GPI,106.14596182275045,48.31050109863281,-114.25599670410156,3178.9745978661413
GRF,7.088895586514492e-05,47.07916667,-122.58083333,0.0021230594748471074
GTF,8861.67496867654,47.47666667,-111.37305556,265399.0706402078
GUC,0.09534937867337627,38.53611111,-106.92944444,2.8556267946503824
GUP,1.3845311171837082,35.51111111,-108.78944444,41.46544226366302
GXY,0.00013816910639596156,40.4374008179,-104.633003235,0.004138038526383994
GYR,1.833160469362599e-05,33.42333333,-112.37527778,0.0005490148156222219
HAE,6.971499956074617e-06,36.21666667,-112.66666667,0.00020879005558773934
HAF,1.8577543275635002e-06,37.51333333,-122.50111111,5.563804515014975e-05
HDN,7.923594566280852,40.48111111,-107.21777778,237.30441947531753
HHR,0.43043276275921727,33.92277778,-118.335,12.891068067062513
HIF,0.008513852900826933,41.12388889,-111.97305556,0.2549821174251851
HII,0.006841690752296127,34.57111111,-114.35833333,0.2049023885084195
HIO,0.0029688944207451945,45.54222222,-122.95055556,0.0889156759732014
HJO,3.406694872352146e-06,36.31669998,-119.6279984,0.00010202739959125923
HLN,388.7845225332797,46.60666667,-111.98333333,11643.741315761597
HMN,0.08612737893126246,32.86,-106.105,2.579436326183362
HMT,0.0,33.73416667,-117.02222222,0.0
HND,0.0005538951947343591,35.9728012085,-115.134002686,0.01658865512831264
HQM,0.0,46.97111111,-123.93666667,0.0
HRF,3.80969969161818,46.251499,-114.125569,114.09702580467744
HRI,0.001394769952599283,45.828223,-119.259024,0.041772086031724553
HVR,64.11556286164658,48.54416667,-109.75916667,1920.2025415287985
HWD,0.00015096944641614712,37.65888889,-122.12166667,0.0045213970175545706
IDA,9743.053648052497,43.525,-112.05861111,291795.5569946839
IFP,3.97131631474494,35.15472222,-114.55944444,118.93729603908176
IGM,0.00019776118021263585,35.25944444,-113.93805556,0.005922766702984002
INS,6.693213840563863e-06,36.58638889,-115.6775,0.00020045564062784856
INW,4.014985643010958e-06,35.02194444,-110.7225,0.000120245152531026
IPL,0.056249660167347074,32.83416667,-115.57888889,1.6846259409208468
ITR,1.7604647800607078e-05,39.2425,-102.285004,0.0005272431207130002
IWA,0.00017169437595914526,33.3078,-111.654999,0.00514208972623975
IYK,0.0003721740313612553,35.65944444,-117.82944444,0.011146272277965117
