date,demand_mwh_baseline,demand_mwh_industry,demand_mwh_transport,demand_mwh_aviation
295,88117.8799160259,160677.19208425898,296638.9180925302,490803.9000682991
296,88117.8799160259,160677.19208425898,312516.29034961894,500881.17644910247
297,88117.8799160259,313707.3334247697,289130.2657524341,553928.1971199932
298,88117.8799160259,313707.3334247697,296941.31577567407,540892.3463697776
299,88117.8799160259,313707.3334247697,309102.9371608481,384061.0272561186
300,88117.8799160259,313707.3334247697,327271.67360165046,490798.94127871876
301,88117.8799160259,313707.3334247697,332340.356311871,503241.97872521845
302,88117.8799160259,160677.19208425898,287045.89610782405,469241.3580256035
303,88117.8799160259,160677.19208425898,302409.8092016309,479433.4003938296
304,88117.8799160259,313707.3334247697,279780.066505949,458720.6953126627
305,88117.8799160259,313707.3334247697,287338.51455473,503377.39285155357
306,88117.8799160259,313707.3334247697,299106.84063451074,381478.07560269395
307,88117.8799160259,313707.3334247697,316688.0172882097,471750.75876402523
308,88117.8799160259,313707.3334247697,321592.7836127687,456946.5388045037
309,88117.8799160259,160677.19208425898,288180.1687364967,436547.34915967344
310,88117.8799160259,160677.19208425898,303604.792973016,473119.8221258783
311,88117.8799160259,313707.3334247697,280885.62798132416,527152.4548139154
312,88117.8799160259,313707.3334247697,288473.9435101038,481956.25264359004
313,88117.8799160259,313707.3334247697,300288.7726172746,381830.65846668405
314,88117.8799160259,313707.3334247697,317939.4218803736,477466.39477040444
315,88117.8799160259,313707.3334247697,322863.5696058487,480124.6795513939
316,88117.8799160259,160677.19208425898,282873.72962699446,469452.5730919684
317,88117.8799160259,160677.19208425898,298014.3307733642,483766.3569383056
318,88117.8799160259,313707.3334247697,275713.5077656099,542571.4917639676
319,88117.8799160259,313707.3334247697,283162.0949579997,525995.5301261566
320,88117.8799160259,313707.3334247697,294759.3703509231,380486.9709827383
321,88117.8799160259,313707.3334247697,312085.00729994354,478535.6821530114
322,88117.8799160259,313707.3334247697,316918.48367057275,502263.22049806674
323,88117.8799160259,160677.19208425898,278971.8082692391,475955.411832523
324,88117.8799160259,160677.19208425898,293903.5620276599,478447.4164944171
325,88117.8799160259,313707.3334247697,271910.3535129299,539128.056642637
326,88117.8799160259,313707.3334247697,279256.1959198812,533731.9438332784
327,88117.8799160259,313707.3334247697,290693.50007807335,451325.2554491816
328,88117.8799160259,313707.3334247697,307780.14958939195,482486.80788888707
329,88117.8799160259,313707.3334247697,312546.95364280394,505208.0608756872
330,88117.8799160259,160677.19208425898,278590.14226221753,536966.8402038803
331,88117.8799160259,160677.19208425898,293501.46763355343,515200.6641258051
332,88117.8799160259,313707.3334247697,271538.34839735675,251509.36533757826
333,88117.8799160259,313707.3334247697,278874.1408349591,416529.8033076367
334,88117.8799160259,313707.3334247697,290295.79742242873,471794.93672559765
335,88117.8799160259,313707.3334247697,307359.0704070592,523303.14107899583
336,88117.8799160259,313707.3334247697,312119.35291363846,516719.15727870615
337,88117.8799160259,160677.19208425898,269543.06821289007,478940.50026155374
338,88117.8799160259,160677.19208425898,283970.1558878571,476725.7589622251
339,88117.8799160259,313707.3334247697,262720.2778300964,518283.6560025236
340,88117.8799160259,313707.3334247697,269817.8441063164,505035.6559753557
341,88117.8799160259,313707.3334247697,280868.5882106031,389616.625117984
342,88117.8799160259,313707.3334247697,297377.73996680416,471299.2873489895
343,88117.8799160259,313707.3334247697,301983.4347349049,483454.4330084746
344,88117.8799160259,160677.19208425898,279234.56461624586,477390.13125861617
345,88117.8799160259,160677.19208425898,294180.3821889083,488112.8210389547
346,88117.8799160259,313707.3334247697,272166.4588442949,529681.2374042121
347,88117.8799160259,313707.3334247697,279519.22011399455,512042.8416896842
348,88117.8799160259,313707.3334247697,290967.29676008254,378234.21301827056
349,88117.8799160259,313707.3334247697,308070.03976679046,471169.1905574274
350,88117.8799160259,313707.3334247697,312841.3335400009,475044.36694228544
351,88117.8799160259,160677.19208425898,286816.0477756568,484923.5310262205
352,88117.8799160259,160677.19208425898,302167.6584194181,493779.9017945691
353,88117.8799160259,313707.3334247697,279556.03619889176,538362.3653905465
354,88117.8799160259,313707.3334247697,287108.4319158002,538199.3649600089
355,88117.8799160259,313707.3334247697,298867.33466386807,460193.95246913424
356,88117.8799160259,313707.3334247697,316434.43340744096,467109.1281283357
357,88117.8799160259,313707.3334247697,321335.27230664995,486314.4173664225
358,88117.8799160259,160677.19208425898,283123.7806146009,352209.3175934048
359,88117.8799160259,160677.19208425898,298277.7654572263,332793.00505528983
360,88117.8799160259,313707.3334247697,275957.2292893068,486556.7609924099
361,88117.8799160259,313707.3334247697,283412.40080163145,527863.2127978851
362,88117.8799160259,313707.3334247697,295019.9277351174,452364.50792958227
363,88117.8799160259,313707.3334247697,312360.8800736612,459678.2950336637
364,88117.8799160259,313707.3334247697,317198.6290293191,479721.13180517236
365,88117.8799160259,160677.19208425898,279046.8519360965,392027.297641451
